cpu_usage,memory_usage,disk_read_iops,disk_write_iops,network_in,network_out,disk_read_latency,disk_write_latency,disk_free_space,packet_loss,network_latency,query_execution_time,active_connections,http_requests_per_sec,backend_latency,label,timestamp
62.33,5GB,392,61,31GB,37GB,2.74,3.0,738GB,0.95,75.16,146.77,257,1427,289.9,1,2025-04-18 15:11:01.811021
52.66,13GB,335,426,20GB,5GB,1.71,3.19,251GB,0.5,99.37,154.42,101,972,220.55,1,2025-04-18 15:11:16.811021
25.24,15GB,156,50,26GB,49GB,1.19,3.69,441GB,0.72,16.62,176.84,162,366,394.39,1,2025-04-18 15:11:31.811021
16.28,7GB,203,276,7GB,16GB,4.77,2.61,110GB,0.76,82.78,136.14,36,250,109.22,1,2025-04-18 15:11:46.811021
57.18,31GB,441,183,12GB,36GB,4.71,4.89,157GB,0.72,39.79,100.47,342,436,52.74,1,2025-04-18 15:12:01.811021
60.78,11GB,329,465,30GB,46GB,2.57,3.35,433GB,0.91,74.79,62.71,483,1973,90.08,1,2025-04-18 15:12:16.811021
11.05,15GB,102,240,21GB,19GB,4.16,2.33,282GB,0.81,57.16,139.23,69,1826,372.57,1,2025-04-18 15:12:31.811021
57.63,19GB,324,391,36GB,46GB,3.45,3.35,705GB,0.82,88.81,74.98,124,1259,186.1,1,2025-04-18 15:12:46.811021
15.4,10GB,381,474,28GB,29GB,4.64,3.39,103GB,0.75,45.65,119.47,314,990,183.6,1,2025-04-18 15:13:01.811021
41.31,5GB,184,122,48GB,48GB,2.04,3.38,485GB,0.52,86.27,136.31,467,596,279.49,1,2025-04-18 15:13:16.811021
32.14,26GB,371,488,48GB,45GB,1.65,1.65,456GB,0.05,26.22,138.54,116,1794,100.12,1,2025-04-18 15:13:31.811021
65.23,25GB,251,122,47GB,25GB,4.9,3.99,706GB,0.22,45.27,162.1,436,1375,68.97,1,2025-04-18 15:13:46.811021
72.24,21GB,67,406,18GB,16GB,4.93,4.58,404GB,0.56,20.59,45.49,78,150,274.45,1,2025-04-18 15:14:01.811021
19.83,22GB,498,386,45GB,11GB,4.83,2.02,550GB,0.3,89.86,19.31,249,1308,200.41,1,2025-04-18 15:14:16.811021
58.93,17GB,103,351,45GB,32GB,3.18,2.23,393GB,0.76,66.91,100.23,438,1762,393.87,1,2025-04-18 15:14:31.811021
40.12,26GB,366,77,48GB,42GB,2.66,3.53,119GB,0.26,99.2,18.63,195,1340,318.11,1,2025-04-18 15:14:46.811021
117.28,235GB,2989,2010,446GB,483GB,39.34,56.4,1GB,19.61,518.17,1877.21,2947,25340,2253.89,-1,2025-04-18 15:15:01.811021
51.84,22GB,217,400,29GB,9GB,1.14,1.99,204GB,0.15,64.59,61.08,461,1957,390.09,1,2025-04-18 15:15:16.811021
94.87,222GB,3605,4545,324GB,197GB,44.41,91.45,8GB,45.33,1925.14,1955.76,2266,27005,4782.24,-1,2025-04-18 15:15:31.811021
28.87,11GB,304,383,38GB,31GB,4.64,1.64,682GB,0.0,81.75,161.15,261,1784,300.96,1,2025-04-18 15:15:46.811021
42.01,13GB,216,360,9GB,14GB,1.04,3.26,388GB,0.59,26.61,104.32,129,1836,340.0,1,2025-04-18 15:16:01.811021
25.87,20GB,58,356,45GB,36GB,3.07,4.64,213GB,0.75,51.32,63.45,66,695,234.93,1,2025-04-18 15:16:16.811021
55.32,5GB,447,50,46GB,44GB,4.74,1.92,732GB,0.3,96.34,150.76,52,1717,350.69,1,2025-04-18 15:16:31.811021
39.52,30GB,98,493,45GB,42GB,4.8,4.77,537GB,0.99,42.94,157.05,428,1876,199.19,1,2025-04-18 15:16:46.811021
32.86,10GB,230,167,15GB,13GB,4.97,2.72,623GB,0.99,11.43,123.74,226,541,340.27,1,2025-04-18 15:17:01.811021
19.68,19GB,196,139,25GB,49GB,3.6,4.09,580GB,0.23,20.26,74.31,151,1375,144.13,1,2025-04-18 15:17:16.811021
38.74,24GB,147,272,6GB,44GB,1.09,4.95,272GB,0.31,96.36,12.88,311,1764,236.82,1,2025-04-18 15:17:31.811021
40.14,18GB,89,469,31GB,18GB,2.58,1.03,469GB,0.94,52.15,11.95,309,878,77.91,1,2025-04-18 15:17:46.811021
15.31,28GB,64,317,35GB,36GB,5.0,3.18,715GB,0.72,90.34,144.69,148,411,337.61,1,2025-04-18 15:18:01.811021
24.76,19GB,102,426,19GB,46GB,1.91,1.15,342GB,0.7,77.43,106.6,242,536,331.26,1,2025-04-18 15:18:16.811021
66.86,30GB,401,280,48GB,6GB,1.47,1.6,768GB,0.52,29.04,126.31,56,464,363.06,1,2025-04-18 15:18:31.811021
64.71,14GB,369,440,33GB,30GB,4.95,4.54,197GB,0.34,68.92,80.34,402,1189,215.86,1,2025-04-18 15:18:46.811021
14.7,10GB,123,409,5GB,47GB,2.17,3.23,771GB,0.65,26.82,74.73,183,971,51.62,1,2025-04-18 15:19:01.811021
12.85,17GB,350,169,15GB,38GB,1.07,4.32,672GB,0.06,12.5,174.0,218,1421,246.0,1,2025-04-18 15:19:16.811021
54.76,16GB,140,228,24GB,27GB,1.6,4.6,286GB,0.36,95.86,89.07,461,663,355.66,1,2025-04-18 15:19:31.811021
29.25,11GB,435,80,40GB,8GB,4.49,1.9,508GB,0.81,76.19,108.91,366,1498,60.1,1,2025-04-18 15:19:46.811021
49.86,16GB,432,135,23GB,5GB,3.12,4.39,436GB,0.42,45.51,131.63,371,1043,190.43,1,2025-04-18 15:20:01.811021
29.77,15GB,63,431,30GB,39GB,3.85,1.95,617GB,0.19,27.34,180.92,301,464,286.88,1,2025-04-18 15:20:16.811021
23.77,29GB,308,445,6GB,15GB,4.36,4.29,602GB,0.19,12.65,36.39,451,1664,205.58,1,2025-04-18 15:20:31.811021
66.27,26GB,131,154,40GB,18GB,3.16,4.65,781GB,0.9,75.22,73.47,137,1501,304.12,1,2025-04-18 15:20:46.811021
43.29,5GB,418,383,40GB,43GB,4.72,2.91,686GB,0.99,40.98,196.18,23,716,235.39,1,2025-04-18 15:21:01.811021
56.9,23GB,121,182,14GB,41GB,2.09,3.31,753GB,0.89,12.18,16.69,119,1329,317.07,1,2025-04-18 15:21:16.811021
22.18,20GB,200,387,24GB,24GB,2.78,4.17,145GB,0.18,66.32,179.59,30,221,174.18,1,2025-04-18 15:21:31.811021
35.65,21GB,127,283,39GB,6GB,1.75,4.14,752GB,0.41,57.26,197.93,173,383,147.94,1,2025-04-18 15:21:46.811021
49.94,19GB,313,467,27GB,24GB,3.67,4.63,464GB,0.26,47.36,192.49,95,145,375.67,1,2025-04-18 15:22:01.811021
19.28,29GB,89,494,6GB,12GB,1.32,1.38,299GB,0.44,79.81,142.47,264,1635,225.23,1,2025-04-18 15:22:16.811021
45.52,24GB,390,433,7GB,25GB,1.79,1.09,629GB,0.01,25.33,107.75,450,631,218.72,1,2025-04-18 15:22:31.811021
37.49,16GB,403,293,8GB,26GB,3.14,2.04,398GB,0.12,13.51,122.71,188,760,194.66,1,2025-04-18 15:22:46.811021
26.26,8GB,198,420,17GB,43GB,1.06,4.1,239GB,0.48,32.65,155.66,307,460,341.25,1,2025-04-18 15:23:01.811021
58.77,12GB,210,236,28GB,5GB,1.29,2.18,561GB,0.35,85.04,12.71,248,1748,251.67,1,2025-04-18 15:23:16.811021
14.9,17GB,462,156,47GB,15GB,1.84,4.64,342GB,0.18,63.23,68.84,132,1114,302.42,1,2025-04-18 15:23:31.811021
28.2,27GB,499,462,41GB,14GB,4.74,4.14,300GB,0.2,33.55,186.7,90,429,229.91,1,2025-04-18 15:23:46.811021
21.53,19GB,272,56,43GB,29GB,4.61,4.63,487GB,1.0,43.0,103.0,203,625,238.22,1,2025-04-18 15:24:01.811021
49.04,14GB,136,196,8GB,24GB,2.27,2.14,196GB,0.37,58.08,118.2,205,1776,133.88,1,2025-04-18 15:24:16.811021
76.31,27GB,384,276,22GB,46GB,3.75,2.99,288GB,0.72,62.58,100.62,57,1909,329.45,1,2025-04-18 15:24:31.811021
13.12,15GB,108,314,29GB,22GB,4.11,2.3,506GB,0.16,89.01,107.22,345,964,343.54,1,2025-04-18 15:24:46.811021
44.84,17GB,160,199,49GB,27GB,3.41,2.25,575GB,0.37,78.92,168.01,135,1354,227.26,1,2025-04-18 15:25:01.811021
43.87,6GB,274,360,22GB,37GB,2.52,3.08,274GB,0.75,32.14,87.89,278,493,160.13,1,2025-04-18 15:25:16.811021
70.88,28GB,306,186,48GB,23GB,1.22,2.11,523GB,0.55,62.52,180.37,294,897,256.58,1,2025-04-18 15:25:31.811021
59.58,16GB,240,469,23GB,36GB,1.8,1.92,266GB,0.57,47.12,41.38,42,1453,301.77,1,2025-04-18 15:25:46.811021
53.8,24GB,84,147,9GB,7GB,2.4,4.35,244GB,0.98,38.73,119.02,148,1294,52.35,1,2025-04-18 15:26:01.811021
20.74,15GB,436,476,18GB,10GB,1.23,1.06,146GB,0.22,87.5,140.57,157,296,86.73,1,2025-04-18 15:26:16.811021
78.01,15GB,181,150,10GB,16GB,2.83,4.82,157GB,0.14,73.71,37.51,117,1768,53.49,1,2025-04-18 15:26:31.811021
95.95,189GB,4473,4624,130GB,471GB,81.99,65.28,8GB,25.13,1794.77,2169.11,3116,20190,2656.31,-1,2025-04-18 15:26:46.811021
74.17,7GB,354,305,10GB,27GB,3.8,3.86,109GB,0.38,10.69,173.52,452,240,250.56,1,2025-04-18 15:27:01.811021
75.24,21GB,278,493,20GB,44GB,3.61,1.21,785GB,0.84,28.62,176.21,382,1044,337.76,1,2025-04-18 15:27:16.811021
22.07,8GB,112,194,33GB,19GB,3.1,3.29,380GB,0.31,15.66,26.71,266,1941,76.85,1,2025-04-18 15:27:31.811021
12.55,8GB,345,272,36GB,10GB,2.01,2.1,545GB,0.59,69.04,38.4,98,242,369.67,1,2025-04-18 15:27:46.811021
11.34,26GB,476,50,22GB,18GB,2.8,3.22,661GB,0.43,84.6,93.23,224,123,380.79,1,2025-04-18 15:28:01.811021
58.85,28GB,304,216,19GB,5GB,1.05,3.19,189GB,0.67,94.73,140.61,188,1144,177.13,1,2025-04-18 15:28:16.811021
50.41,15GB,212,351,21GB,17GB,3.98,1.18,558GB,0.2,74.08,139.73,140,206,208.22,1,2025-04-18 15:28:31.811021
33.97,13GB,399,148,25GB,12GB,4.77,2.82,197GB,0.08,72.99,80.62,134,1342,331.93,1,2025-04-18 15:28:46.811021
66.89,27GB,129,363,23GB,8GB,1.89,1.43,272GB,0.22,60.52,166.48,120,1871,84.09,1,2025-04-18 15:29:01.811021
53.96,19GB,284,174,37GB,19GB,3.5,2.67,393GB,0.63,37.96,196.46,116,848,292.17,1,2025-04-18 15:29:16.811021
79.52,15GB,301,173,18GB,19GB,2.66,4.44,509GB,0.59,99.95,69.26,353,153,397.9,1,2025-04-18 15:29:31.811021
39.72,21GB,363,184,16GB,13GB,4.74,3.38,153GB,0.48,57.75,33.71,100,1043,299.63,1,2025-04-18 15:29:46.811021
75.55,27GB,173,176,27GB,18GB,3.23,3.98,526GB,0.39,55.6,133.48,212,1039,90.4,1,2025-04-18 15:30:01.811021
77.41,6GB,347,426,6GB,38GB,1.99,4.34,136GB,0.06,90.0,61.53,265,522,72.11,1,2025-04-18 15:30:16.811021
46.62,4GB,81,349,34GB,21GB,1.96,4.35,468GB,0.99,76.73,137.79,344,269,382.42,1,2025-04-18 15:30:31.811021
48.36,20GB,435,367,28GB,47GB,2.41,3.88,305GB,0.13,34.94,124.67,67,910,346.58,1,2025-04-18 15:30:46.811021
10.63,5GB,344,55,33GB,26GB,4.2,2.41,578GB,0.21,17.0,53.22,284,1759,351.03,1,2025-04-18 15:31:01.811021
92.49,229GB,2754,4012,137GB,427GB,60.74,81.08,8GB,46.16,1255.14,1246.77,3790,16849,4683.66,-1,2025-04-18 15:31:16.811021
26.61,30GB,192,224,24GB,25GB,4.42,1.48,564GB,0.73,69.84,135.52,240,1352,335.78,1,2025-04-18 15:31:31.811021
75.56,17GB,168,429,32GB,34GB,2.67,3.95,751GB,0.38,67.43,161.84,342,1061,348.19,1,2025-04-18 15:31:46.811021
74.83,31GB,323,281,36GB,30GB,1.96,2.38,276GB,0.42,63.84,99.07,166,1523,294.36,1,2025-04-18 15:32:01.811021
59.09,23GB,417,322,25GB,6GB,4.11,3.2,672GB,0.15,24.36,48.04,77,1389,260.42,1,2025-04-18 15:32:16.811021
64.17,20GB,66,246,36GB,37GB,2.19,3.18,557GB,0.9,81.24,57.67,148,993,158.67,1,2025-04-18 15:32:31.811021
26.77,13GB,243,138,49GB,19GB,2.64,3.13,569GB,0.48,26.83,19.95,375,1700,360.18,1,2025-04-18 15:32:46.811021
69.73,21GB,383,289,39GB,25GB,4.31,3.21,293GB,0.48,36.83,42.09,455,1311,295.89,1,2025-04-18 15:33:01.811021
27.63,10GB,146,161,15GB,30GB,1.76,4.43,656GB,0.37,99.66,157.98,416,510,367.05,1,2025-04-18 15:33:16.811021
78.91,10GB,287,61,49GB,35GB,4.97,4.36,363GB,0.75,48.11,68.39,198,1417,82.43,1,2025-04-18 15:33:31.811021
74.4,6GB,94,320,11GB,44GB,2.56,3.34,654GB,0.43,64.52,33.42,122,444,236.48,1,2025-04-18 15:33:46.811021
43.99,21GB,228,416,12GB,34GB,1.04,3.56,669GB,0.26,86.54,104.27,482,1525,218.2,1,2025-04-18 15:34:01.811021
73.81,22GB,242,143,20GB,26GB,1.28,2.34,580GB,0.66,59.61,149.89,41,137,313.95,1,2025-04-18 15:34:16.811021
43.3,22GB,320,400,21GB,19GB,4.25,1.69,301GB,0.68,97.66,184.95,316,1994,198.67,1,2025-04-18 15:34:31.811021
21.1,27GB,309,166,43GB,36GB,1.71,1.36,182GB,0.08,53.02,33.31,167,988,194.31,1,2025-04-18 15:34:46.811021
44.64,5GB,229,175,48GB,32GB,4.54,1.29,222GB,0.7,33.4,35.03,360,246,91.75,1,2025-04-18 15:35:01.811021
16.19,21GB,241,470,31GB,35GB,4.29,1.47,588GB,0.62,36.19,40.1,244,1657,131.09,1,2025-04-18 15:35:16.811021
67.68,17GB,416,336,16GB,30GB,3.31,4.27,103GB,0.72,72.09,151.51,444,1222,287.48,1,2025-04-18 15:35:31.811021
42.5,13GB,180,70,35GB,28GB,2.98,2.86,152GB,0.66,94.48,135.76,383,1995,54.59,1,2025-04-18 15:35:46.811021
46.37,19GB,300,270,27GB,43GB,3.63,3.44,419GB,0.72,23.81,25.12,19,794,102.42,1,2025-04-18 15:36:01.811021
31.83,15GB,189,351,31GB,37GB,4.39,3.27,374GB,0.53,55.48,10.89,276,219,257.73,1,2025-04-18 15:36:16.811021
63.33,13GB,418,198,26GB,12GB,1.06,1.93,514GB,0.87,15.0,184.46,128,974,130.57,1,2025-04-18 15:36:31.811021
61.73,19GB,80,95,43GB,7GB,1.1,3.43,500GB,0.82,12.83,144.38,84,726,236.12,1,2025-04-18 15:36:46.811021
45.68,15GB,76,133,12GB,25GB,1.48,3.37,403GB,0.16,92.75,14.01,148,621,349.17,1,2025-04-18 15:37:01.811021
42.59,12GB,385,221,39GB,38GB,2.69,4.29,498GB,0.99,16.04,80.95,326,689,192.52,1,2025-04-18 15:37:16.811021
26.36,27GB,146,60,42GB,10GB,4.11,4.98,757GB,0.06,44.8,50.65,362,757,105.34,1,2025-04-18 15:37:31.811021
19.69,8GB,93,136,27GB,47GB,1.1,4.89,172GB,0.05,82.39,33.55,389,1238,228.01,1,2025-04-18 15:37:46.811021
37.87,17GB,166,302,15GB,9GB,4.36,1.9,665GB,0.84,60.18,132.71,95,1373,121.72,1,2025-04-18 15:38:01.811021
79.25,5GB,190,203,10GB,12GB,1.64,3.09,755GB,0.29,97.08,92.68,61,991,223.56,1,2025-04-18 15:38:16.811021
56.84,20GB,62,155,35GB,10GB,3.88,2.21,247GB,0.66,30.41,118.71,485,1248,285.86,1,2025-04-18 15:38:31.811021
48.04,25GB,353,432,24GB,41GB,3.16,1.86,477GB,0.28,12.33,137.87,394,322,306.8,1,2025-04-18 15:38:46.811021
63.45,26GB,417,265,13GB,23GB,4.28,1.18,245GB,0.5,71.57,139.92,96,721,174.41,1,2025-04-18 15:39:01.811021
38.1,17GB,214,418,24GB,33GB,4.7,3.1,699GB,0.6,81.74,116.07,14,635,245.34,1,2025-04-18 15:39:16.811021
45.17,18GB,303,69,36GB,12GB,3.23,3.45,473GB,0.47,24.44,189.65,33,1418,314.47,1,2025-04-18 15:39:31.811021
13.64,23GB,93,324,8GB,17GB,3.21,2.7,241GB,0.42,34.56,108.99,255,1907,75.26,1,2025-04-18 15:39:46.811021
11.02,13GB,92,114,21GB,38GB,3.66,2.76,519GB,0.64,16.72,70.74,145,1782,173.13,1,2025-04-18 15:40:01.811021
12.61,12GB,85,365,46GB,45GB,1.08,2.12,376GB,0.99,29.99,182.33,193,1067,180.88,1,2025-04-18 15:40:16.811021
51.72,4GB,322,400,24GB,32GB,2.09,1.67,347GB,0.8,65.2,194.67,359,691,253.49,1,2025-04-18 15:40:31.811021
47.62,29GB,457,410,29GB,10GB,2.75,4.68,541GB,0.22,21.87,76.93,314,623,390.18,1,2025-04-18 15:40:46.811021
59.68,6GB,422,77,30GB,28GB,1.35,3.13,107GB,0.52,83.21,14.15,174,1650,371.01,1,2025-04-18 15:41:01.811021
51.36,13GB,498,328,39GB,43GB,2.69,4.06,733GB,0.19,88.87,75.39,223,1290,291.54,1,2025-04-18 15:41:16.811021
59.17,11GB,164,375,45GB,48GB,1.23,3.62,561GB,0.99,70.28,140.69,415,1891,279.99,1,2025-04-18 15:41:31.811021
62.63,31GB,209,429,39GB,36GB,1.12,2.68,144GB,0.41,51.66,142.6,393,1056,240.63,1,2025-04-18 15:41:46.811021
54.62,10GB,139,204,23GB,17GB,4.09,4.83,531GB,0.14,57.87,121.21,308,206,239.53,1,2025-04-18 15:42:01.811021
15.39,11GB,442,220,31GB,15GB,3.11,1.23,605GB,0.89,61.73,40.2,87,1410,345.91,1,2025-04-18 15:42:16.811021
11.85,18GB,138,352,6GB,34GB,2.76,4.54,258GB,0.86,91.76,98.32,126,1841,245.99,1,2025-04-18 15:42:31.811021
58.72,5GB,456,202,25GB,37GB,4.65,3.44,742GB,0.19,13.2,162.12,288,1251,336.76,1,2025-04-18 15:42:46.811021
77.31,12GB,256,185,22GB,46GB,1.01,3.48,387GB,0.46,57.84,52.68,45,408,278.97,1,2025-04-18 15:43:01.811021
42.5,24GB,396,413,40GB,11GB,1.28,2.09,629GB,0.35,88.82,84.71,198,875,130.47,1,2025-04-18 15:43:16.811021
78.54,6GB,367,388,32GB,19GB,3.37,3.48,137GB,0.78,77.68,199.49,121,1462,147.46,1,2025-04-18 15:43:31.811021
74.98,21GB,439,461,29GB,47GB,2.2,3.98,421GB,0.9,27.24,55.14,329,831,342.36,1,2025-04-18 15:43:46.811021
69.58,5GB,479,417,7GB,36GB,4.84,3.64,307GB,0.82,46.51,56.57,472,824,116.05,1,2025-04-18 15:44:01.811021
25.71,4GB,217,150,23GB,18GB,4.02,2.84,776GB,0.16,69.88,17.54,470,294,226.95,1,2025-04-18 15:44:16.811021
14.94,15GB,343,217,24GB,9GB,1.25,3.01,311GB,0.36,99.39,160.78,52,1929,158.02,1,2025-04-18 15:44:31.811021
42.19,25GB,185,278,47GB,30GB,4.95,1.66,676GB,0.27,18.7,89.7,129,218,340.69,1,2025-04-18 15:44:46.811021
77.87,28GB,320,311,20GB,30GB,4.84,2.33,268GB,0.99,60.33,182.8,334,1469,307.35,1,2025-04-18 15:45:01.811021
55.95,21GB,419,388,33GB,12GB,2.34,2.3,305GB,0.28,28.37,77.84,132,1386,186.21,1,2025-04-18 15:45:16.811021
59.42,29GB,131,123,32GB,46GB,1.28,1.7,485GB,0.65,44.12,41.25,68,118,397.77,1,2025-04-18 15:45:31.811021
28.17,16GB,468,397,20GB,46GB,3.19,1.8,264GB,0.99,60.89,83.83,190,1623,399.58,1,2025-04-18 15:45:46.811021
13.34,9GB,153,113,20GB,18GB,3.78,4.94,747GB,0.31,39.76,154.28,373,557,257.95,1,2025-04-18 15:46:01.811021
71.26,14GB,353,483,8GB,9GB,2.99,1.49,686GB,0.87,32.98,182.36,352,827,123.95,1,2025-04-18 15:46:16.811021
55.08,17GB,177,414,34GB,9GB,1.35,2.87,547GB,0.97,88.14,128.8,238,1341,152.01,1,2025-04-18 15:46:31.811021
57.99,22GB,318,204,49GB,10GB,4.18,4.58,266GB,0.66,74.67,195.03,286,211,352.44,1,2025-04-18 15:46:46.811021
41.0,21GB,75,183,31GB,10GB,4.43,1.67,744GB,0.15,47.13,78.64,91,1693,356.66,1,2025-04-18 15:47:01.811021
77.18,21GB,253,266,21GB,18GB,3.24,4.74,678GB,0.5,62.42,76.6,212,368,68.52,1,2025-04-18 15:47:16.811021
49.52,7GB,94,498,46GB,31GB,1.16,2.37,165GB,0.24,89.33,72.29,467,359,245.4,1,2025-04-18 15:47:31.811021
13.32,25GB,228,352,10GB,19GB,3.95,3.62,197GB,0.73,17.56,133.31,490,1172,229.5,1,2025-04-18 15:47:46.811021
65.85,20GB,270,84,47GB,7GB,1.18,2.74,545GB,0.7,52.9,171.53,292,617,74.42,1,2025-04-18 15:48:01.811021
34.03,21GB,409,76,22GB,36GB,1.69,3.98,396GB,0.41,22.4,10.58,211,929,50.92,1,2025-04-18 15:48:16.811021
77.45,27GB,292,127,26GB,37GB,4.37,1.93,635GB,0.79,61.02,174.66,433,1448,305.19,1,2025-04-18 15:48:31.811021
32.65,17GB,70,273,36GB,19GB,1.71,3.32,342GB,0.38,36.71,114.09,196,685,179.18,1,2025-04-18 15:48:46.811021
12.15,12GB,103,154,11GB,42GB,4.57,4.81,233GB,0.63,82.71,16.29,439,1043,126.2,1,2025-04-18 15:49:01.811021
15.5,18GB,58,395,36GB,23GB,2.3,3.45,466GB,0.02,71.41,49.11,193,1412,242.36,1,2025-04-18 15:49:16.811021
19.85,10GB,203,391,39GB,5GB,2.32,2.16,513GB,0.09,67.54,199.87,332,584,82.49,1,2025-04-18 15:49:31.811021
41.62,29GB,51,51,44GB,12GB,2.43,1.33,104GB,0.67,61.89,77.08,344,500,300.81,1,2025-04-18 15:49:46.811021
45.66,25GB,319,57,40GB,48GB,2.37,1.16,571GB,0.51,75.52,157.13,252,1137,97.99,1,2025-04-18 15:50:01.811021
28.06,25GB,330,346,37GB,9GB,2.21,3.12,370GB,0.99,98.89,15.76,361,1034,181.33,1,2025-04-18 15:50:16.811021
66.84,21GB,84,307,27GB,26GB,3.1,1.56,305GB,0.33,35.15,153.98,175,1589,258.02,1,2025-04-18 15:50:31.811021
68.95,25GB,138,496,33GB,12GB,4.43,4.7,226GB,0.11,20.89,121.91,89,1500,113.29,1,2025-04-18 15:50:46.811021
21.2,8GB,74,453,13GB,45GB,1.36,3.0,179GB,0.94,19.37,156.63,35,1967,105.66,1,2025-04-18 15:51:01.811021
59.32,24GB,106,165,36GB,6GB,3.53,3.55,241GB,0.61,46.92,20.92,322,1799,66.01,1,2025-04-18 15:51:16.811021
44.44,24GB,329,97,13GB,19GB,4.43,4.71,111GB,0.97,31.62,109.54,223,540,288.5,1,2025-04-18 15:51:31.811021
69.37,9GB,472,231,23GB,28GB,2.66,2.18,634GB,0.57,12.72,117.08,177,157,207.68,1,2025-04-18 15:51:46.811021
37.65,22GB,208,93,16GB,17GB,1.13,1.89,478GB,0.64,27.57,136.41,471,1413,155.1,1,2025-04-18 15:52:01.811021
32.15,18GB,62,479,43GB,18GB,4.68,2.05,527GB,0.59,14.86,114.16,111,1679,288.57,1,2025-04-18 15:52:16.811021
100.08,202GB,2904,4745,333GB,113GB,51.84,61.93,3GB,11.75,1449.03,1302.78,4598,27547,3456.31,-1,2025-04-18 15:52:31.811021
62.74,21GB,373,257,27GB,32GB,4.7,1.96,498GB,0.22,43.44,114.61,280,1231,289.13,1,2025-04-18 15:52:46.811021
44.34,15GB,66,427,36GB,21GB,3.41,4.88,213GB,0.15,29.34,63.28,82,1893,94.03,1,2025-04-18 15:53:01.811021
34.92,14GB,319,352,22GB,22GB,3.4,4.72,648GB,0.58,86.52,140.35,80,1119,154.97,1,2025-04-18 15:53:16.811021
49.25,4GB,189,428,10GB,46GB,2.99,1.08,115GB,0.18,46.67,62.06,403,555,275.94,1,2025-04-18 15:53:31.811021
36.31,15GB,376,262,15GB,23GB,2.15,2.64,704GB,0.04,52.85,126.88,409,1475,375.82,1,2025-04-18 15:53:46.811021
33.36,30GB,51,161,22GB,21GB,1.37,4.58,409GB,0.78,83.07,15.61,346,542,119.33,1,2025-04-18 15:54:01.811021
39.06,27GB,262,362,28GB,10GB,3.57,3.25,256GB,0.79,86.07,162.66,290,1751,379.73,1,2025-04-18 15:54:16.811021
14.91,22GB,417,270,49GB,12GB,4.4,4.72,693GB,0.41,41.5,112.24,395,1390,63.58,1,2025-04-18 15:54:31.811021
75.59,12GB,436,480,6GB,38GB,1.68,4.7,540GB,0.63,72.39,147.25,302,585,195.0,1,2025-04-18 15:54:46.811021
34.77,5GB,479,76,21GB,32GB,4.78,4.94,251GB,0.47,96.45,104.58,433,1988,248.16,1,2025-04-18 15:55:01.811021
56.81,11GB,229,378,39GB,40GB,2.41,1.27,265GB,0.92,64.91,130.31,107,515,223.76,1,2025-04-18 15:55:16.811021
22.38,23GB,414,392,24GB,19GB,1.61,2.3,376GB,0.64,52.43,173.49,250,1447,257.8,1,2025-04-18 15:55:31.811021
35.05,13GB,235,65,24GB,30GB,3.55,4.88,343GB,0.53,44.56,17.73,369,1594,256.51,1,2025-04-18 15:55:46.811021
55.44,19GB,171,342,15GB,11GB,2.82,1.97,577GB,0.63,98.75,90.04,400,605,307.06,1,2025-04-18 15:56:01.811021
71.23,9GB,446,415,33GB,11GB,4.67,3.27,790GB,0.96,46.33,196.08,404,499,67.96,1,2025-04-18 15:56:16.811021
49.22,4GB,192,468,9GB,17GB,1.81,2.98,708GB,0.01,41.7,150.36,133,1672,267.1,1,2025-04-18 15:56:31.811021
30.17,5GB,288,303,43GB,21GB,4.88,2.72,616GB,0.39,52.9,64.58,74,1275,82.58,1,2025-04-18 15:56:46.811021
113.97,125GB,2929,2860,474GB,471GB,34.13,99.15,7GB,28.81,1873.37,1511.89,4703,19437,4784.92,-1,2025-04-18 15:57:01.811021
20.95,30GB,167,355,19GB,43GB,3.82,4.51,739GB,0.5,22.57,114.46,126,1548,192.25,1,2025-04-18 15:57:16.811021
71.5,25GB,93,143,45GB,25GB,4.71,1.67,315GB,0.43,24.29,127.4,141,1726,273.51,1,2025-04-18 15:57:31.811021
13.16,20GB,338,381,15GB,39GB,2.07,3.56,781GB,0.31,25.83,147.42,142,717,342.88,1,2025-04-18 15:57:46.811021
46.38,4GB,169,316,27GB,28GB,1.41,3.37,522GB,0.33,16.04,49.26,495,1117,69.91,1,2025-04-18 15:58:01.811021
47.86,16GB,286,317,10GB,30GB,1.83,1.94,720GB,0.22,32.99,117.75,220,1501,100.61,1,2025-04-18 15:58:16.811021
43.54,26GB,100,125,25GB,24GB,4.05,4.72,578GB,0.57,39.77,53.96,281,292,132.42,1,2025-04-18 15:58:31.811021
45.85,9GB,145,274,28GB,8GB,4.93,1.95,364GB,0.61,85.14,61.89,393,798,144.22,1,2025-04-18 15:58:46.811021
69.14,13GB,467,452,29GB,15GB,2.18,3.06,611GB,0.17,11.96,127.95,68,1051,85.49,1,2025-04-18 15:59:01.811021
32.35,11GB,233,398,32GB,40GB,2.58,3.04,139GB,0.31,97.06,122.14,93,619,247.4,1,2025-04-18 15:59:16.811021
52.04,10GB,98,190,39GB,43GB,2.39,4.54,508GB,0.62,25.8,179.95,413,1699,389.92,1,2025-04-18 15:59:31.811021
27.39,22GB,479,440,31GB,43GB,3.39,4.21,105GB,0.51,48.0,138.45,300,1751,270.88,1,2025-04-18 15:59:46.811021
